733	16	a
941	16	a
941	18	a
937	17	a
701	26	a
685	32	a
565	32	a
533	32	a
461	32	a
469	32	a
461	31	a
489	32	a
517	32	a
529	32	a
573	32	a
585	32	a
593	32	a
605	32	a
617	32	a
541	32	a
501	31	a
705	31	a
709	30	a
721	29	a
721	28	a
725	27	a
737	26	a
749	25	a
761	24	a
761	23	a
773	22	a
773	21	a
713	20	a
725	18	a
709	18	a
701	20	a
701	29	a
701	27	a
705	26	a
717	25	a
725	24	a
713	24	a
713	27	a
705	27	a
701	31	a
709	30	a
701	29	a
713	28	a
709	27	a
705	27	a
717	26	a
729	25	a
741	24	a
701	23	a
713	22	a
701	21	a
713	20	a
701	20	a
709	19	a
753	18	a
701	18	a
701	18	a
713	18	a
1401	14	a
1413	13	a
1269	16	a
1277	16	a
1285	16	a
713	17	a
705	17	a
709	17	a
769	16	a
1401	15	a
1413	15	a
1413	14	a
1401	13	a
1409	12	a
1405	11	a
1401	10	a
1409	9	a
1225	16	a
705	24	a
857	16	a
701	26	a
653	32	a
641	32	a
705	31	a
713	30	a
725	29	a
737	28	a
737	27	a
705	27	a
701	27	a
713	27	a
749	26	a
761	25	a
773	24	a
777	23	a
713	22	a
705	25	a
717	25	a
713	29	a
673	32	a
489	32	a
325	32	a
325	32	a
389	32	a
529	32	a
701	31	a
713	30	a
701	29	a
701	28	a
713	27	a
725	26	a
705	25	a
713	24	a
725	23	a
725	22	a
733	21	a
745	20	a
757	19	a
753	18	a
753	17	a
757	16	a
1409	15	a
1405	14	a
1401	13	a
1405	12	a
1401	11	a
1405	12	a
1401	11	a
1409	11	a
1409	10	a
1405	9	a
1405	9	a
1193	16	a
489	17	a
189	16	a
149	15	a
121	14	a
117	13	a
109	12	a
101	11	a
89	10	a
85	9	a
81	8	a
77	7	a
69	6	a
57	5	a
53	4	a
29	3	a
17	2	a
5	1	a
